epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,857.001,1.49732,2.14925,1.42894,0.45133,0.2941,0.29004,0.18504,1.33349,1.68035,1.28469,0.00333174,0.00333174,0.00333174
2,1684.75,1.53471,1.78264,1.4463,0.4221,0.2937,0.28705,0.18217,1.40187,1.66007,1.3396,0.00663208,0.00663208,0.00663208
3,2495.26,1.60498,1.85612,1.5087,0.38366,0.22704,0.20834,0.125,1.52192,2.07043,1.42856,0.00989942,0.00989942,0.00989942
4,3300.53,1.63032,1.8713,1.53564,0.43827,0.26583,0.26887,0.16998,1.43256,1.70064,1.37285,0.0098515,0.0098515,0.0098515
5,4105.83,1.58866,1.79021,1.50543,0.4457,0.30832,0.30524,0.19773,1.37115,1.6154,1.33614,0.009802,0.009802,0.009802
6,4910.91,1.56422,1.74075,1.48634,0.48411,0.31923,0.33289,0.21348,1.34552,1.5462,1.31221,0.0097525,0.0097525,0.0097525
7,5713.44,1.54784,1.70811,1.4732,0.48341,0.32933,0.33741,0.22055,1.32583,1.5104,1.29593,0.009703,0.009703,0.009703
8,6516.72,1.53681,1.68479,1.46291,0.47942,0.34487,0.35524,0.23459,1.30872,1.47356,1.28293,0.0096535,0.0096535,0.0096535
9,7322.07,1.52361,1.66437,1.45553,0.48327,0.35589,0.36416,0.24274,1.29039,1.44423,1.2736,0.009604,0.009604,0.009604
10,8122.92,1.52078,1.65533,1.45205,0.51061,0.35973,0.37121,0.24719,1.28318,1.4333,1.26546,0.0095545,0.0095545,0.0095545
11,8923.15,1.51521,1.64042,1.44625,0.51316,0.36253,0.3756,0.2502,1.27466,1.41225,1.25994,0.009505,0.009505,0.009505
12,9722.78,1.50699,1.63061,1.44061,0.51659,0.3657,0.38323,0.25617,1.26969,1.40251,1.25593,0.0094555,0.0094555,0.0094555
13,10526.2,1.50478,1.62052,1.43709,0.53076,0.36852,0.38691,0.25969,1.26353,1.39199,1.25193,0.009406,0.009406,0.009406
14,11330.8,1.50295,1.61612,1.43583,0.53573,0.36954,0.38805,0.2607,1.26096,1.3877,1.24974,0.0093565,0.0093565,0.0093565
15,12130.3,1.49711,1.60938,1.43281,0.53068,0.37142,0.39049,0.26286,1.25754,1.38026,1.24716,0.009307,0.009307,0.009307
16,12931.9,1.49676,1.60442,1.43142,0.5328,0.37416,0.39279,0.26473,1.25508,1.37484,1.24518,0.0092575,0.0092575,0.0092575
17,13730.7,1.4936,1.59965,1.42839,0.51487,0.38182,0.39432,0.26555,1.25321,1.37077,1.24387,0.009208,0.009208,0.009208
18,14529.9,1.49232,1.59429,1.42752,0.5194,0.38312,0.39541,0.26647,1.25168,1.36751,1.24277,0.0091585,0.0091585,0.0091585
19,15327.6,1.49135,1.59202,1.42739,0.52604,0.3799,0.39674,0.26739,1.25035,1.36394,1.24194,0.009109,0.009109,0.009109
20,16123,1.48787,1.58865,1.42566,0.5304,0.37707,0.39704,0.26827,1.24885,1.36165,1.24099,0.0090595,0.0090595,0.0090595
21,16919.4,1.48524,1.58254,1.42156,0.52787,0.38049,0.39754,0.26902,1.24705,1.35897,1.23941,0.00901,0.00901,0.00901
22,17714.7,1.48464,1.58186,1.42169,0.53083,0.38002,0.39855,0.26957,1.24572,1.3556,1.23846,0.0089605,0.0089605,0.0089605
23,18512.1,1.48198,1.57572,1.41893,0.53412,0.37939,0.3991,0.27028,1.24452,1.35308,1.23719,0.008911,0.008911,0.008911
24,19310.2,1.47902,1.57437,1.41874,0.54046,0.37789,0.39992,0.27163,1.24339,1.35061,1.23606,0.0088615,0.0088615,0.0088615
25,20108.5,1.47971,1.57481,1.4186,0.53554,0.37973,0.4012,0.27184,1.24272,1.34842,1.23539,0.008812,0.008812,0.008812
26,20903.5,1.47811,1.57146,1.41737,0.5345,0.38112,0.40164,0.27203,1.2415,1.34643,1.23447,0.0087625,0.0087625,0.0087625
27,21699.6,1.47913,1.56784,1.41635,0.53508,0.38067,0.40193,0.27258,1.24066,1.34449,1.23377,0.008713,0.008713,0.008713
28,22498.5,1.47787,1.56704,1.41597,0.52938,0.38397,0.40267,0.27307,1.23948,1.34258,1.23304,0.0086635,0.0086635,0.0086635
29,23293.6,1.47487,1.56372,1.41287,0.52894,0.38408,0.40281,0.27374,1.23862,1.34048,1.23219,0.008614,0.008614,0.008614
30,24089.4,1.47537,1.56195,1.41465,0.53326,0.38297,0.40337,0.27399,1.238,1.33848,1.2315,0.0085645,0.0085645,0.0085645
31,24884.4,1.4739,1.56077,1.41207,0.53146,0.38463,0.40481,0.27459,1.23718,1.33691,1.23057,0.008515,0.008515,0.008515
32,25681.5,1.47402,1.55909,1.41346,0.52757,0.38845,0.40547,0.27516,1.2364,1.33515,1.22984,0.0084655,0.0084655,0.0084655
33,26480.1,1.47425,1.55934,1.41268,0.52843,0.38804,0.40628,0.27641,1.23605,1.33352,1.22942,0.008416,0.008416,0.008416
34,27277.8,1.47287,1.5572,1.41206,0.53602,0.38574,0.40743,0.27717,1.23525,1.33145,1.22886,0.0083665,0.0083665,0.0083665
35,28081,1.4718,1.55749,1.41022,0.53581,0.38501,0.40751,0.27702,1.23489,1.32959,1.22831,0.008317,0.008317,0.008317
36,28882.6,1.47066,1.55276,1.40908,0.53839,0.38542,0.40762,0.27724,1.23391,1.32836,1.22764,0.0082675,0.0082675,0.0082675
37,29681.2,1.47145,1.55506,1.41205,0.53497,0.38727,0.40845,0.27788,1.23362,1.32767,1.22724,0.008218,0.008218,0.008218
38,30474.2,1.46949,1.5482,1.40792,0.54068,0.38632,0.40933,0.2783,1.23335,1.32751,1.22697,0.0081685,0.0081685,0.0081685
39,31269.1,1.46773,1.54942,1.40924,0.53952,0.38786,0.41003,0.27883,1.23258,1.32636,1.22629,0.008119,0.008119,0.008119
40,32070.2,1.46751,1.54794,1.40718,0.54107,0.38955,0.41051,0.27916,1.23188,1.32564,1.22558,0.0080695,0.0080695,0.0080695
41,32865.7,1.46893,1.54944,1.40963,0.54171,0.38839,0.41054,0.27937,1.23183,1.32455,1.22528,0.00802,0.00802,0.00802
42,33669.8,1.46904,1.54677,1.40796,0.53924,0.39217,0.41169,0.27971,1.23122,1.32348,1.22482,0.0079705,0.0079705,0.0079705
43,34462.8,1.46694,1.5428,1.40539,0.53843,0.39107,0.41144,0.27988,1.23083,1.32298,1.22445,0.007921,0.007921,0.007921
44,35260.4,1.46511,1.54486,1.40672,0.5357,0.39363,0.41257,0.28008,1.23057,1.32246,1.22427,0.0078715,0.0078715,0.0078715
45,36055.1,1.46349,1.54259,1.4052,0.537,0.39458,0.41356,0.28077,1.23026,1.32151,1.22387,0.007822,0.007822,0.007822
46,36848.3,1.46271,1.54451,1.40599,0.53812,0.3964,0.41443,0.28171,1.23009,1.32111,1.22363,0.0077725,0.0077725,0.0077725
47,37643.2,1.46577,1.54393,1.40637,0.53445,0.39744,0.41458,0.28186,1.22974,1.32,1.2233,0.007723,0.007723,0.007723
48,38438.7,1.46532,1.54097,1.40418,0.53033,0.39621,0.41482,0.2821,1.22944,1.31903,1.22284,0.0076735,0.0076735,0.0076735
49,39232.4,1.46414,1.53848,1.40316,0.53183,0.39588,0.41556,0.28254,1.22877,1.31836,1.22235,0.007624,0.007624,0.007624
50,40027.6,1.46056,1.53849,1.40307,0.53229,0.39718,0.41645,0.28317,1.22845,1.31744,1.22207,0.0075745,0.0075745,0.0075745
51,40820.2,1.46203,1.53676,1.40392,0.52825,0.399,0.41703,0.28354,1.22803,1.31696,1.22183,0.007525,0.007525,0.007525
52,41615.2,1.45953,1.53556,1.40204,0.5305,0.40014,0.41782,0.28411,1.22782,1.31621,1.22149,0.0074755,0.0074755,0.0074755
53,42410.6,1.46102,1.53608,1.40254,0.53249,0.39982,0.41826,0.28434,1.22748,1.31578,1.2212,0.007426,0.007426,0.007426
54,43203.2,1.45907,1.53277,1.40072,0.53508,0.39851,0.41849,0.28463,1.22727,1.31493,1.22092,0.0073765,0.0073765,0.0073765
55,43997.7,1.46115,1.53342,1.40104,0.53848,0.39778,0.41882,0.2847,1.2267,1.31452,1.22031,0.007327,0.007327,0.007327
56,44865.8,1.46037,1.53088,1.40072,0.54124,0.39879,0.41897,0.28482,1.22648,1.31434,1.22017,0.0072775,0.0072775,0.0072775
57,45661.8,1.45671,1.53004,1.3997,0.53763,0.39763,0.41907,0.28521,1.22661,1.31348,1.2202,0.007228,0.007228,0.007228
58,46463,1.45543,1.5277,1.39772,0.53022,0.4025,0.41961,0.2851,1.22636,1.31239,1.2199,0.0071785,0.0071785,0.0071785
59,47264.4,1.4541,1.52551,1.39786,0.53334,0.40309,0.42003,0.28537,1.2261,1.31179,1.21965,0.007129,0.007129,0.007129
60,48066.8,1.45735,1.52812,1.39845,0.53324,0.40272,0.42025,0.28559,1.2262,1.31143,1.21958,0.0070795,0.0070795,0.0070795
61,48865.7,1.45585,1.52556,1.39904,0.53144,0.40333,0.42049,0.28552,1.22553,1.31115,1.21907,0.00703,0.00703,0.00703
62,49663.5,1.45561,1.52384,1.39726,0.53661,0.40263,0.42097,0.28569,1.22505,1.31081,1.21864,0.0069805,0.0069805,0.0069805
63,50462.8,1.45486,1.52398,1.39796,0.53775,0.40114,0.42129,0.28624,1.22492,1.31026,1.21855,0.006931,0.006931,0.006931
64,51259.6,1.45399,1.52275,1.39718,0.53859,0.40042,0.42234,0.28697,1.22469,1.30976,1.21836,0.0068815,0.0068815,0.0068815
65,52058.3,1.45568,1.52192,1.39696,0.54416,0.3967,0.42153,0.28719,1.22477,1.3099,1.21818,0.006832,0.006832,0.006832
66,52855.5,1.45328,1.52179,1.39797,0.54992,0.39626,0.42177,0.28721,1.22446,1.30931,1.21783,0.0067825,0.0067825,0.0067825
67,53651.2,1.45245,1.52049,1.39626,0.54274,0.39914,0.42254,0.28776,1.2241,1.30909,1.21773,0.006733,0.006733,0.006733
68,54442.4,1.45541,1.52216,1.3968,0.53965,0.40239,0.42317,0.28764,1.22402,1.30847,1.21764,0.0066835,0.0066835,0.0066835
69,55238.7,1.45272,1.51945,1.39571,0.543,0.40035,0.42333,0.28791,1.22354,1.30844,1.21714,0.006634,0.006634,0.006634
70,56033.2,1.4536,1.51641,1.39457,0.5401,0.4027,0.42377,0.28811,1.22279,1.30758,1.21644,0.0065845,0.0065845,0.0065845
71,56827.9,1.45293,1.51723,1.39583,0.54865,0.39962,0.42392,0.28887,1.22224,1.30687,1.21611,0.006535,0.006535,0.006535
72,57624.4,1.4476,1.51349,1.39229,0.54305,0.40113,0.42414,0.28872,1.22169,1.30552,1.21583,0.0064855,0.0064855,0.0064855
73,58420,1.4497,1.51635,1.39287,0.55041,0.39882,0.4248,0.28868,1.22131,1.30464,1.21539,0.006436,0.006436,0.006436
74,59220.6,1.44968,1.51282,1.39262,0.54369,0.40175,0.42504,0.28884,1.22089,1.30451,1.21515,0.0063865,0.0063865,0.0063865
75,60019.3,1.44711,1.51223,1.39227,0.55038,0.40004,0.4251,0.28916,1.22097,1.30447,1.21503,0.006337,0.006337,0.006337
76,60822.9,1.44775,1.51333,1.39285,0.54924,0.40078,0.42548,0.28963,1.22072,1.30439,1.21485,0.0062875,0.0062875,0.0062875
77,61625.9,1.44868,1.51159,1.39321,0.54665,0.4042,0.42561,0.28979,1.22048,1.304,1.21473,0.006238,0.006238,0.006238
78,62426.8,1.44799,1.51139,1.39206,0.54641,0.40372,0.42511,0.28972,1.22033,1.30312,1.21468,0.0061885,0.0061885,0.0061885
79,63222.1,1.44423,1.50489,1.38891,0.54695,0.40366,0.42565,0.29045,1.21998,1.30295,1.21427,0.006139,0.006139,0.006139
80,64016.8,1.4453,1.50874,1.38913,0.54784,0.40293,0.42603,0.29052,1.21954,1.3024,1.21389,0.0060895,0.0060895,0.0060895
81,64813.2,1.44327,1.50471,1.3892,0.54893,0.40244,0.42685,0.29052,1.21905,1.30219,1.21353,0.00604,0.00604,0.00604
82,65608.4,1.44309,1.50584,1.38886,0.55238,0.40122,0.42739,0.29111,1.21892,1.30141,1.21339,0.0059905,0.0059905,0.0059905
83,66411.4,1.4437,1.50524,1.38905,0.5502,0.40347,0.42795,0.29158,1.21862,1.30074,1.21324,0.005941,0.005941,0.005941
84,67207.7,1.44351,1.50618,1.38928,0.55017,0.4036,0.42845,0.29182,1.21819,1.29996,1.21284,0.0058915,0.0058915,0.0058915
85,68009.5,1.44366,1.50432,1.38876,0.54892,0.40548,0.42884,0.29209,1.21759,1.3,1.21247,0.005842,0.005842,0.005842
86,68812.8,1.4419,1.49928,1.38552,0.54756,0.40533,0.42876,0.29249,1.21712,1.29977,1.21201,0.0057925,0.0057925,0.0057925
87,69608.3,1.44121,1.49745,1.38533,0.54696,0.40845,0.4296,0.29289,1.2168,1.29881,1.21172,0.005743,0.005743,0.005743
88,70408.2,1.44454,1.5022,1.38759,0.55077,0.40582,0.43014,0.29332,1.21625,1.29831,1.21145,0.0056935,0.0056935,0.0056935
89,71199.8,1.4395,1.49703,1.3859,0.54855,0.40739,0.43057,0.29308,1.21601,1.29753,1.21124,0.005644,0.005644,0.005644
90,71995.8,1.43778,1.49511,1.38331,0.55169,0.40571,0.43051,0.2936,1.21559,1.29662,1.21088,0.0055945,0.0055945,0.0055945
91,72791,1.43851,1.49615,1.38441,0.55035,0.4054,0.43049,0.29392,1.21538,1.29603,1.21051,0.005545,0.005545,0.005545
92,73585.4,1.4377,1.49493,1.38212,0.54727,0.40867,0.43047,0.29363,1.21487,1.29593,1.20998,0.0054955,0.0054955,0.0054955
93,74381,1.43816,1.49511,1.38328,0.5488,0.41101,0.4309,0.29385,1.21471,1.29543,1.20962,0.005446,0.005446,0.005446
94,75175,1.43592,1.49199,1.38263,0.54588,0.41237,0.43123,0.29423,1.21434,1.29457,1.20918,0.0053965,0.0053965,0.0053965
95,75970.4,1.43469,1.49099,1.38144,0.55075,0.41049,0.43134,0.29456,1.21405,1.29433,1.2088,0.005347,0.005347,0.005347
96,76764.8,1.43719,1.49291,1.38277,0.54894,0.41122,0.43172,0.29469,1.21366,1.29364,1.20842,0.0052975,0.0052975,0.0052975
97,77562.2,1.43467,1.48935,1.38187,0.54895,0.40977,0.43168,0.29474,1.21328,1.29263,1.20796,0.005248,0.005248,0.005248
98,78363.5,1.43636,1.49041,1.38253,0.55549,0.40839,0.43237,0.29469,1.21298,1.29207,1.2076,0.0051985,0.0051985,0.0051985
99,79160.3,1.43637,1.48977,1.37982,0.5516,0.40805,0.43222,0.295,1.21271,1.29158,1.20715,0.005149,0.005149,0.005149
100,79950.8,1.43342,1.48678,1.3808,0.54391,0.41122,0.43274,0.29545,1.21219,1.29138,1.20686,0.0050995,0.0050995,0.0050995
101,80746.2,1.43305,1.48521,1.37912,0.55211,0.40911,0.43347,0.29564,1.21196,1.29114,1.20673,0.00505,0.00505,0.00505
102,81537.9,1.43256,1.48379,1.37747,0.546,0.41417,0.43438,0.29602,1.21162,1.29035,1.20633,0.0050005,0.0050005,0.0050005
103,82333,1.43196,1.4837,1.37859,0.54766,0.41464,0.43515,0.29614,1.21129,1.2899,1.20601,0.004951,0.004951,0.004951
104,83126.7,1.43125,1.48348,1.37784,0.54879,0.4145,0.43542,0.29632,1.21109,1.28979,1.20578,0.0049015,0.0049015,0.0049015
105,83925.3,1.42905,1.47971,1.37815,0.54496,0.41459,0.43605,0.29653,1.21069,1.28921,1.20543,0.004852,0.004852,0.004852
106,84722.4,1.43014,1.48081,1.37785,0.55048,0.41468,0.43631,0.29663,1.21033,1.28861,1.20528,0.0048025,0.0048025,0.0048025
107,85512.5,1.43013,1.47838,1.37675,0.55273,0.414,0.43658,0.29711,1.20987,1.288,1.20496,0.004753,0.004753,0.004753
108,86318.1,1.43137,1.47816,1.37648,0.5584,0.41125,0.43678,0.2975,1.20985,1.28676,1.20495,0.0047035,0.0047035,0.0047035
109,87120.2,1.42748,1.4755,1.37534,0.55308,0.4141,0.43692,0.29662,1.21009,1.28617,1.205,0.004654,0.004654,0.004654
110,87918.9,1.42783,1.47575,1.37573,0.5449,0.41706,0.43697,0.29685,1.20986,1.28593,1.20464,0.0046045,0.0046045,0.0046045
111,88716.8,1.42437,1.47302,1.37254,0.54801,0.41647,0.43686,0.29689,1.20956,1.28507,1.20422,0.004555,0.004555,0.004555
112,89511.8,1.42482,1.47083,1.37318,0.54886,0.41733,0.43728,0.2974,1.20936,1.28459,1.20418,0.0045055,0.0045055,0.0045055
113,90306.3,1.42481,1.47168,1.37374,0.55055,0.41724,0.4374,0.2974,1.20929,1.28419,1.20398,0.004456,0.004456,0.004456
114,91104.5,1.42387,1.47258,1.37425,0.55034,0.41981,0.43745,0.29807,1.20881,1.28399,1.20359,0.0044065,0.0044065,0.0044065
