epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,775.852,1.35659,1.56452,1.32754,0.60022,0.38021,0.40058,0.26603,1.22889,1.31742,1.20629,0.00333174,0.00333174,0.00333174
2,1530.33,1.38632,1.39623,1.34313,0.60323,0.38777,0.43255,0.29185,1.23793,1.32514,1.22121,0.00659909,0.00659909,0.00659909
3,2273.24,1.41424,1.42464,1.36903,0.55991,0.42633,0.44377,0.30154,1.27493,1.35352,1.25272,0.00980044,0.00980044,0.00980044
4,3018.97,1.42591,1.43136,1.38168,0.56532,0.4323,0.45977,0.31413,1.25045,1.33726,1.24173,0.009703,0.009703,0.009703
5,3765.99,1.4173,1.41931,1.37636,0.58352,0.43468,0.46708,0.32227,1.24411,1.3119,1.23784,0.009604,0.009604,0.009604
6,4510.12,1.40873,1.40877,1.37117,0.57874,0.44496,0.47315,0.32943,1.23549,1.29495,1.23128,0.009505,0.009505,0.009505
7,5255.5,1.40411,1.4027,1.36659,0.5918,0.44946,0.47725,0.33072,1.23049,1.28715,1.22546,0.009406,0.009406,0.009406
8,6008.25,1.39887,1.39686,1.36253,0.60111,0.44887,0.47623,0.33036,1.22273,1.29028,1.21928,0.009307,0.009307,0.009307
9,6750.6,1.39617,1.3946,1.36028,0.5854,0.44993,0.47806,0.33281,1.21904,1.28024,1.21583,0.009208,0.009208,0.009208
10,7493.26,1.39384,1.39056,1.3594,0.62357,0.43675,0.47984,0.33387,1.2166,1.27464,1.2141,0.009109,0.009109,0.009109
11,8262.03,1.39188,1.38695,1.35618,0.57962,0.45887,0.48249,0.33718,1.21503,1.27085,1.21263,0.00901,0.00901,0.00901
12,9005.63,1.39032,1.38529,1.35568,0.58408,0.4587,0.48361,0.33742,1.21389,1.26795,1.2123,0.008911,0.008911,0.008911
13,9754.97,1.38927,1.38281,1.35455,0.56959,0.46943,0.48392,0.33894,1.212,1.26636,1.21035,0.008812,0.008812,0.008812
14,10520.7,1.3902,1.38239,1.35311,0.58523,0.46504,0.48476,0.33977,1.21085,1.26427,1.20924,0.008713,0.008713,0.008713
15,11280.2,1.38694,1.38173,1.35192,0.59416,0.45895,0.48487,0.33943,1.20999,1.26293,1.20835,0.008614,0.008614,0.008614
16,12030.1,1.38661,1.38209,1.35204,0.59031,0.45976,0.48497,0.33989,1.20933,1.261,1.20767,0.008515,0.008515,0.008515
17,12779.7,1.38324,1.37839,1.35037,0.59683,0.45885,0.48524,0.33935,1.20877,1.2599,1.20729,0.008416,0.008416,0.008416
18,13540.3,1.38331,1.37702,1.35027,0.595,0.45902,0.48528,0.33925,1.20834,1.25873,1.20686,0.008317,0.008317,0.008317
19,14293.2,1.38339,1.37646,1.34974,0.60025,0.45601,0.48503,0.33935,1.208,1.25759,1.20652,0.008218,0.008218,0.008218
20,15045.7,1.38269,1.37673,1.34876,0.60022,0.45621,0.48532,0.34006,1.20749,1.25657,1.206,0.008119,0.008119,0.008119
21,15800.2,1.38347,1.37509,1.34791,0.59698,0.45848,0.48555,0.34022,1.20712,1.25559,1.20546,0.00802,0.00802,0.00802
22,16551.1,1.3809,1.37638,1.34815,0.59784,0.45566,0.48515,0.33982,1.20683,1.25466,1.20509,0.007921,0.007921,0.007921
23,17308.8,1.38122,1.37331,1.34662,0.59865,0.45605,0.48536,0.34034,1.20656,1.25405,1.20496,0.007822,0.007822,0.007822
24,18061.1,1.38103,1.37436,1.34785,0.59978,0.45621,0.48566,0.3403,1.20626,1.25315,1.20484,0.007723,0.007723,0.007723
25,18823.5,1.37933,1.37499,1.34716,0.59663,0.45692,0.4861,0.34042,1.20582,1.25249,1.20454,0.007624,0.007624,0.007624
26,19576,1.37965,1.37199,1.34463,0.5917,0.46122,0.48659,0.34081,1.20564,1.25187,1.20428,0.007525,0.007525,0.007525
27,20332.6,1.38036,1.37248,1.34561,0.59695,0.45693,0.48686,0.34104,1.20558,1.25149,1.20401,0.007426,0.007426,0.007426
28,21085.4,1.38002,1.37039,1.34388,0.6,0.45509,0.48735,0.34201,1.20518,1.25079,1.20362,0.007327,0.007327,0.007327
29,21837.7,1.3791,1.37104,1.34325,0.60029,0.45445,0.48771,0.34251,1.20482,1.25055,1.20324,0.007228,0.007228,0.007228
30,22594.4,1.38013,1.37101,1.34446,0.6043,0.45321,0.48793,0.34259,1.20469,1.24999,1.20301,0.007129,0.007129,0.007129
31,23343.7,1.37811,1.37041,1.34326,0.59113,0.4587,0.48767,0.34239,1.20457,1.2498,1.20272,0.00703,0.00703,0.00703
32,24095.3,1.37865,1.37043,1.34289,0.5986,0.45317,0.48753,0.34282,1.20454,1.24952,1.20255,0.006931,0.006931,0.006931
